khoảng cách trên,khoảng cách dưới
0.616,0.77,07_42_37
0.615,0.826,07_42_39
0.714,0.784,07_42_41
0.641,0.746,07_42_43
0.625,0.78,07_42_44
0.636,0.787,07_42_46
0.615,0.814,07_42_48
0.653,0.777,07_42_49
0.644,0.779,07_42_51
0.678,0.749,07_42_53
0.644,0.77,07_42_54
0.634,0.794,07_42_55
0.57,0.828,07_42_57
0.679,0.813,07_42_58
0.635,0.765,07_43_00
0.661,0.8,07_43_02
0.655,0.802,07_43_04
0.596,0.832,07_43_06
0.582,0.826,07_43_07
0.612,0.777,07_43_09
0.598,0.827,07_43_11
0.655,0.733,07_43_13
0.66,0.748,07_43_14
0.656,0.83,07_43_16
0.643,0.796,07_43_18
0.646,0.838,07_43_20
0.692,0.825,07_43_21
0.657,0.751,07_43_23
0.569,0.798,07_43_32
0.618,0.804,07_44_16
0.587,0.726,07_44_18
0.61,0.777,07_44_20
0.686,0.763,07_44_22
0.667,0.777,07_44_24
0.681,0.762,07_44_25
0.604,0.815,07_44_27
0.576,0.812,07_44_29
0.672,0.758,07_44_31
0.61,0.818,07_44_32
0.689,0.705,07_44_34
0.694,0.77,07_44_36
0.643,0.812,07_44_38
0.594,0.759,07_44_40
0.616,0.807,07_44_41
0.653,0.809,07_44_43
0.707,0.75,07_44_45
0.591,0.779,07_44_46
0.634,0.774,07_44_48
0.643,0.855,07_44_50
0.633,0.817,07_44_51
0.632,0.836,07_44_53
0.695,0.756,07_44_55
0.675,0.776,07_44_57
0.647,0.82,07_44_59
0.658,0.807,07_45_00
0.707,0.836,07_45_02
0.603,0.861,07_45_04
0.62,0.887,07_45_06
0.644,0.768,07_45_08
0.625,0.83,07_45_09
0.716,0.841,07_45_11
0.674,0.767,07_45_13
0.624,0.745,07_45_14
0.716,0.819,07_45_16
0.697,0.789,07_45_18
0.653,0.765,07_45_20
0.627,0.875,07_45_21
0.695,0.783,07_45_23
0.582,0.788,07_45_25
0.706,0.933,07_45_27
0.684,0.881,07_45_28
0.599,0.94,07_45_30
0.675,0.873,07_45_32
0.763,0.882,07_45_34
0.688,0.916,07_45_36
0.71,0.874,07_45_37
0.724,0.897,07_45_39
0.708,0.878,07_45_41
0.704,0.917,07_45_47
0.69,0.87,07_45_49
0.709,0.904,07_45_50
0.726,0.893,07_46_41
0.71,0.857,07_46_42
0.719,0.963,07_46_44
0.69,0.926,07_46_46
0.688,0.902,07_46_48
0.739,0.887,07_46_49
0.695,0.889,07_46_51
0.754,0.831,07_46_53
0.703,0.917,07_46_55
0.703,0.853,07_46_56
0.659,0.898,07_46_58
0.693,0.91,07_46_59
0.702,0.894,07_47_01
0.717,0.933,07_47_03
0.698,0.925,07_47_05
0.737,0.839,07_47_06
0.72,0.854,07_47_08
0.686,0.936,07_47_10
0.729,0.862,07_47_12
0.664,0.882,07_47_14
0.666,0.891,07_47_15
0.648,0.896,07_47_17
0.719,0.891,07_47_19
0.691,0.874,07_47_21
0.694,0.891,07_47_22
0.751,0.896,07_47_24
0.699,0.852,07_47_26
0.689,0.921,07_47_27
0.671,0.951,07_47_29
0.676,0.879,07_47_31
0.681,0.89,07_47_33
0.702,0.915,07_47_34
0.712,0.87,07_47_36
0.665,0.864,07_47_38
0.734,0.872,07_47_40
0.701,0.871,07_47_41
0.698,0.848,07_47_43
0.741,0.82,07_47_45
0.689,0.891,07_47_47
0.77,0.872,07_47_48
0.715,0.914,07_47_50
0.753,0.871,07_47_52
0.695,0.874,07_47_53
0.738,0.863,07_47_55
0.732,0.832,07_47_56
0.701,0.899,07_47_58
0.704,0.879,07_48_00
0.716,0.952,07_48_02
0.701,0.897,07_48_03
0.717,0.88,07_48_05
0.71,0.933,07_48_07
0.714,0.892,07_48_09
0.695,0.865,07_48_10
0.717,0.893,07_48_12
0.713,0.865,07_48_14
0.735,0.871,07_48_16
0.704,0.877,07_48_17
0.686,0.884,07_48_19
0.668,0.93,07_48_21
0.738,0.886,07_48_23
0.697,0.885,07_48_24
0.697,0.88,07_48_26
0.721,0.961,07_48_28
0.712,0.845,07_48_29
0.679,0.877,07_48_31
0.707,0.906,07_48_33
0.713,0.919,07_48_35
0.733,0.928,07_48_36
0.725,0.947,07_48_38
0.712,0.914,07_48_40
0.733,0.88,07_48_41
0.695,0.956,07_48_43
0.742,0.869,07_48_45
0.7,0.853,07_48_47
0.652,0.884,07_48_48
0.671,0.948,07_48_50
0.717,0.873,07_48_52
0.689,0.86,07_48_54
0.695,0.866,07_48_56
0.676,0.922,07_48_57
0.663,0.907,07_48_59
0.702,0.935,07_49_43
0.685,0.916,07_49_44
0.717,0.837,07_49_46
0.67,0.84,07_49_48
0.755,0.898,07_49_50
0.712,0.862,07_49_51
0.731,0.925,07_50_05
0.67,0.923,07_50_07
0.685,0.849,07_50_09
0.718,0.87,07_50_10
0.688,0.962,07_50_12
0.697,0.924,07_50_14
0.651,0.939,07_50_16
0.697,0.885,07_50_17
0.686,0.935,07_50_19
0.689,0.905,07_50_22
0.711,0.917,07_50_24
0.717,0.918,07_50_25
0.694,0.866,07_50_27
0.747,0.875,07_50_29
0.717,0.856,07_50_30
0.674,1.0,07_50_32
0.712,0.885,07_50_34
0.655,0.878,07_50_36
0.704,0.812,07_50_37
0.743,0.845,07_50_38
0.707,0.815,07_50_40
0.629,0.91,07_50_42
0.71,0.87,07_50_44
0.632,0.976,07_50_45
0.666,0.931,07_50_47
0.661,0.928,07_50_49
0.683,0.9,07_50_50
0.708,0.824,07_50_52
0.682,0.949,07_50_54
0.691,0.882,07_50_56
0.702,0.869,07_50_57
0.676,0.977,07_50_58
0.641,0.931,07_51_12
0.661,0.89,07_51_14
0.757,0.831,07_51_16
0.656,0.974,07_51_18
0.652,0.897,07_51_20
0.692,0.91,07_51_21
0.685,0.875,07_51_23
0.788,0.877,07_51_25
0.699,0.904,07_51_27
0.731,0.87,07_51_28
0.697,0.813,07_51_32
0.685,0.894,07_51_34
0.765,0.869,07_52_19
0.718,0.864,07_52_21
0.736,0.883,07_52_23
0.699,0.946,07_52_24
0.701,0.924,07_52_26
0.745,0.847,07_52_28
0.683,0.901,07_52_29
0.653,0.903,07_52_31
0.732,0.832,07_52_33
0.729,0.889,07_52_34
0.726,0.891,07_52_36
0.645,0.934,07_52_38
0.722,0.915,07_52_40
0.773,0.874,07_52_41
0.666,0.975,07_52_43
0.644,0.941,07_52_45
0.718,0.891,07_52_46
0.686,0.832,07_52_48
0.727,0.874,07_52_50
0.712,0.899,07_52_52
0.773,0.865,07_52_53
0.687,0.911,07_52_55
0.72,0.908,07_52_57
0.732,0.894,07_52_58
0.736,0.886,07_53_00
0.63,0.924,07_53_02
0.732,0.862,07_53_04
0.755,0.868,07_53_05
0.763,0.929,07_53_07
0.695,0.981,07_53_09
0.656,0.892,07_53_11
0.712,0.872,07_53_12
0.766,0.841,07_53_14
0.736,0.79,07_53_16
0.698,0.928,07_53_17
0.684,0.897,07_53_19
0.718,0.888,07_53_21
0.708,0.901,07_53_23
0.702,0.89,07_53_24
0.697,0.903,07_53_26
0.691,0.85,07_53_28
0.677,0.935,07_53_29
0.661,0.923,07_53_31
0.726,0.873,07_53_43
0.73,0.881,07_53_44
0.69,0.872,07_53_46
0.709,0.844,07_53_48
0.708,0.838,07_53_49
0.703,0.915,07_53_51
0.73,0.926,07_53_53
0.698,0.928,07_53_55
0.662,0.922,07_53_56
0.676,0.899,07_53_58
0.68,0.89,07_54_00
0.719,0.862,07_54_02
0.744,0.919,07_54_03
0.705,0.974,07_54_05
0.721,0.874,07_54_07
0.695,0.903,07_54_09
0.709,0.864,07_54_10
0.668,0.89,07_54_12
0.616,0.958,07_54_14
0.73,0.837,07_54_15
0.705,0.821,07_54_17
0.705,0.912,07_54_19
0.688,0.925,07_54_21
0.7,0.897,07_54_22
0.711,0.924,07_54_24
0.713,0.892,07_54_26
0.748,0.952,07_54_28
0.716,0.841,07_54_29
0.695,0.902,07_54_31
0.692,0.923,07_54_33
0.744,0.888,07_54_34
0.693,0.912,07_54_36
0.77,0.888,07_54_38
0.664,0.89,07_54_40
0.724,0.923,07_54_41
0.705,0.863,07_54_43
0.677,0.89,07_54_45
0.688,0.906,07_54_47
0.651,0.884,07_54_48
0.727,0.884,07_54_50
0.651,0.936,07_54_52
0.731,0.907,07_54_54
0.696,0.877,07_54_55
0.668,0.951,07_54_57
0.671,0.939,07_54_59
0.707,0.856,07_55_00
0.711,0.899,07_55_02
0.643,0.884,07_55_05
0.705,0.894,07_55_07
0.667,0.949,07_55_09
0.723,0.881,07_55_10
0.703,0.894,07_55_12
0.696,0.904,07_55_14
0.746,0.918,07_55_15
0.67,0.92,07_55_17
0.743,0.853,07_55_19
0.668,0.903,07_55_21
0.711,0.946,07_55_22
0.697,0.921,07_55_24
0.68,0.83,07_55_26
0.738,0.851,07_55_27
0.728,0.884,07_55_29
0.697,0.983,07_55_31
0.715,0.874,07_55_33
0.697,0.9,07_55_34
0.678,0.916,07_55_36
0.738,0.856,07_55_37
0.664,0.939,07_55_39
0.737,0.82,07_55_41
0.675,0.895,07_55_43
0.733,0.828,07_55_44
0.687,0.816,07_55_46
0.69,0.874,07_55_48
0.703,0.849,07_55_50
0.735,0.931,07_55_51
0.733,0.903,07_55_53
0.738,0.842,07_55_55
0.647,0.961,07_55_56
0.737,0.845,07_55_58
0.778,0.843,07_56_00
0.718,0.841,07_56_13
0.664,0.997,07_56_15
0.735,0.877,07_56_17
0.7,0.919,07_56_19
0.69,0.844,07_56_20
0.784,0.858,07_56_22
0.697,0.888,07_56_23
0.733,0.827,07_56_24
0.653,0.923,07_56_26
0.699,0.862,07_56_27
0.673,0.864,07_56_29
0.734,0.853,07_56_31
0.7,0.851,07_56_32
0.662,0.908,07_56_34
0.657,0.859,07_56_36
0.698,0.933,07_56_38
0.64,0.901,07_56_39
0.668,0.87,07_56_41
0.644,0.955,07_56_43
0.648,0.864,07_56_45
0.751,0.871,07_56_47
0.694,0.875,07_56_48
0.684,0.859,07_56_50
0.732,0.848,07_56_52
0.761,0.889,07_56_53
0.709,0.908,07_56_55
0.675,0.907,07_56_56
0.731,0.857,07_56_58
0.691,0.949,07_56_59
0.69,0.929,07_57_01
0.708,0.895,07_57_03
0.695,0.83,07_57_05
0.676,0.9,07_57_07
0.748,0.871,07_57_08
0.703,0.917,07_57_10
0.745,0.846,07_57_12
0.673,0.889,07_57_14
0.694,0.857,07_57_15
0.722,0.854,07_57_17
0.68,0.888,07_57_19
0.729,0.859,07_57_21
0.672,0.898,07_57_22
0.664,0.917,07_57_24
0.697,0.945,07_57_26
0.731,0.856,07_57_27
0.722,0.903,07_57_29
0.726,0.856,07_57_30
0.669,0.951,07_57_31
0.697,0.908,07_57_33
0.719,0.876,07_57_35
0.712,0.928,07_57_37
0.72,0.888,07_57_39
0.693,0.935,07_57_40
0.721,0.923,07_57_42
0.691,0.915,07_57_44
0.752,0.892,07_57_46
0.714,0.908,07_57_47
0.697,0.842,07_57_49
0.713,0.869,07_57_51
0.717,0.882,07_57_53
0.693,0.939,07_57_54
0.738,0.867,07_57_56
0.693,0.89,07_57_58
0.745,0.779,07_58_00
0.697,0.917,07_58_01
0.706,0.873,07_58_03
0.693,0.9,07_58_05
0.73,0.894,07_58_07
0.7,0.917,07_58_08
0.757,0.881,07_58_10
0.676,0.935,07_58_12
0.647,0.881,07_58_14
0.751,0.925,07_58_15
0.658,0.871,07_58_17
0.757,0.873,07_58_19
0.666,0.905,07_58_20
0.648,0.902,07_58_22
0.714,0.861,07_58_24
0.729,0.885,07_58_26
0.686,0.876,07_58_28
0.693,0.845,07_58_29
0.715,0.836,07_58_31
0.687,0.907,07_58_33
0.702,0.951,07_58_35
0.663,0.981,07_58_36
0.729,0.886,07_58_38
0.72,0.958,07_58_40
0.712,0.928,07_58_42
0.694,0.906,07_58_43
0.72,0.867,07_58_45
0.677,0.952,07_58_47
0.685,0.898,07_58_49
0.734,0.901,07_58_50
0.73,0.899,07_58_52
0.692,0.9,07_58_54
0.681,0.931,07_58_56
0.659,0.934,07_59_16
0.703,0.879,07_59_18
0.704,0.947,07_59_19
0.714,0.852,07_59_21
0.711,0.825,07_59_23
0.727,0.847,07_59_24
0.694,0.875,07_59_26
0.711,0.957,07_59_28
0.695,0.892,07_59_30
0.682,0.907,07_59_31
0.669,0.963,07_59_33
0.682,0.942,07_59_43
0.675,0.921,07_59_45
0.67,0.878,07_59_47
0.688,0.957,07_59_48
0.68,0.843,07_59_50
0.686,0.879,07_59_52
0.683,0.89,07_59_54
0.686,0.881,07_59_55
0.663,0.825,07_59_57
0.749,0.898,07_59_58
0.674,0.907,08_00_00
0.701,0.862,08_00_01
0.714,0.841,08_00_03
0.702,0.798,08_00_04
0.654,0.86,08_00_06
0.672,0.825,08_00_08
0.637,0.833,08_00_10
0.581,0.818,08_00_12
0.643,0.757,08_00_14
0.673,0.774,08_00_15
0.671,0.839,08_00_17
0.624,0.782,08_00_19
0.641,0.853,08_00_21
0.631,0.872,08_00_22
0.591,0.783,08_00_24
0.621,0.797,08_00_26
0.653,0.833,08_00_28
0.6,0.812,08_00_30
0.631,0.832,08_00_31
0.635,0.808,08_00_33
0.683,0.806,08_00_35
0.628,0.822,08_00_36
0.632,0.863,08_00_37
0.693,0.742,08_00_39
0.671,0.867,08_00_41
0.643,0.787,08_00_43
0.665,0.842,08_00_44
0.676,0.825,08_00_46
0.658,0.875,08_00_48
0.64,0.806,08_00_50
0.701,0.798,08_00_52
0.646,0.773,08_00_53
0.638,0.794,08_00_55
0.692,0.834,08_00_57
0.671,0.823,08_00_59
0.667,0.846,08_01_00
0.609,0.796,08_01_02
0.643,0.805,08_01_04
0.601,0.871,08_01_06
0.611,0.822,08_01_08
0.65,0.825,08_01_09
0.632,0.797,08_01_11
0.729,0.869,08_01_13
0.663,0.875,08_01_15
0.665,0.782,08_01_16
0.679,0.83,08_01_18
0.682,0.806,08_01_19
0.65,0.801,08_01_21
0.698,0.801,08_01_23
0.694,0.802,08_01_24
0.632,0.88,08_01_26
0.676,0.904,08_01_28
0.648,0.814,08_01_30
0.718,0.809,08_01_32
0.665,0.727,08_01_33
0.637,0.782,08_01_35
0.606,0.814,08_01_37
0.61,0.854,08_01_39
0.582,0.806,08_01_41
0.648,0.805,08_01_43
0.642,0.773,08_01_44
0.69,0.775,08_01_46
0.646,0.875,08_01_48
0.638,0.848,08_01_50
0.619,0.818,08_01_51
0.578,0.829,08_01_53
0.642,0.877,08_01_55
0.656,0.821,08_01_57
0.662,0.754,08_01_58
0.624,0.802,08_02_00
0.599,0.802,08_02_02
0.677,0.739,08_02_04
0.641,0.801,08_02_05
0.669,0.787,08_02_07
0.589,0.899,08_02_09
0.622,0.864,08_02_11
0.659,0.775,08_02_12
0.667,0.816,08_02_13
0.6,0.803,08_02_15
0.643,0.819,08_02_16
0.553,0.842,08_02_18
0.655,0.886,08_02_20
0.632,0.777,08_02_21
0.67,0.809,08_02_23
0.624,0.755,08_02_25
0.617,0.798,08_02_26
0.667,0.789,08_02_29
0.629,0.745,08_02_30
0.559,0.793,08_02_32
0.578,0.789,08_02_34
0.621,0.791,08_02_35
0.596,0.828,08_02_37
0.627,0.818,08_02_39
0.665,0.826,08_02_41
