khoảng cách trên,khoảng cách dưới
0.717,0.757,08_02_33
0.629,0.784,08_02_35
0.676,0.722,08_02_36
0.66,0.701,08_02_38
0.653,0.747,08_02_40
0.658,0.771,08_02_41
0.717,0.69,08_02_43
0.669,0.834,08_02_44
0.727,0.775,08_02_46
0.734,0.685,08_02_48
0.699,0.684,08_02_49
0.678,0.788,08_02_51
0.667,0.736,08_02_52
0.657,0.751,08_02_54
0.707,0.77,08_02_55
0.747,0.791,08_02_57
0.712,0.761,08_02_59
0.73,0.679,08_03_00
0.667,0.699,08_03_02
0.639,0.75,08_03_04
0.669,0.71,08_03_05
0.719,0.729,08_03_07
0.72,0.717,08_03_08
0.692,0.756,08_03_10
0.655,0.744,08_03_26
0.672,0.787,08_03_27
0.676,0.699,08_03_28
0.739,0.772,08_03_30
0.623,0.747,08_03_32
0.7,0.663,08_03_34
0.719,0.734,08_03_35
0.647,0.833,08_03_37
0.66,0.769,08_03_38
0.623,0.732,08_03_40
0.686,0.733,08_03_41
0.689,0.738,08_03_43
0.635,0.78,08_03_45
0.697,0.787,08_03_46
0.77,0.725,08_03_48
0.646,0.714,08_03_56
0.71,0.692,08_03_58
0.671,0.737,08_04_00
0.622,0.761,08_04_01
0.647,0.716,08_04_03
0.65,0.674,08_04_04
0.715,0.748,08_04_06
0.693,0.772,08_04_08
0.741,0.741,08_04_09
0.721,0.713,08_04_11
0.646,0.736,08_04_12
0.684,0.779,08_04_14
0.682,0.811,08_04_16
0.676,0.836,08_04_17
0.665,0.765,08_04_19
0.65,0.753,08_04_21
0.708,0.708,08_04_22
0.651,0.753,08_04_23
0.666,0.723,08_04_25
0.677,0.781,08_04_27
0.758,0.626,08_04_28
0.647,0.716,08_04_30
0.628,0.739,08_04_32
0.7,0.774,08_04_33
0.666,0.793,08_04_35
0.703,0.713,08_04_36
0.704,0.711,08_04_38
0.676,0.694,08_04_40
0.679,0.761,08_04_41
0.673,0.738,08_04_43
0.657,0.791,08_04_44
0.658,0.629,08_04_46
0.619,0.773,08_04_48
0.71,0.733,08_04_49
0.687,0.745,08_04_51
0.665,0.778,08_04_52
0.641,0.718,08_04_54
0.654,0.758,08_04_55
0.699,0.738,08_04_57
0.655,0.656,08_04_59
0.661,0.786,08_05_00
0.68,0.72,08_05_02
0.71,0.722,08_05_03
0.692,0.757,08_05_05
0.65,0.709,08_05_07
0.699,0.734,08_05_08
0.673,0.748,08_05_10
0.664,0.806,08_05_11
0.689,0.764,08_05_13
0.641,0.799,08_05_15
0.616,0.732,08_05_16
0.692,0.665,08_05_18
0.686,0.735,08_05_20
0.675,0.784,08_05_21
0.641,0.71,08_05_35
0.683,0.693,08_05_37
0.7,0.778,08_05_39
0.659,0.793,08_05_40
0.558,0.708,08_05_42
0.647,0.776,08_05_43
0.645,0.695,08_05_45
0.658,0.724,08_05_47
0.726,0.709,08_05_48
0.684,0.725,08_05_50
0.729,0.762,08_05_52
0.695,0.704,08_05_53
0.626,0.772,08_05_55
0.713,0.733,08_05_56
0.717,0.801,08_05_58
0.707,0.728,08_06_00
0.666,0.779,08_06_02
0.715,0.751,08_06_03
0.634,0.807,08_06_05
0.643,0.692,08_06_07
0.71,0.777,08_06_08
0.722,0.658,08_06_10
0.706,0.673,08_06_11
0.627,0.781,08_06_13
0.645,0.763,08_06_15
0.762,0.647,08_06_17
0.691,0.757,08_06_18
0.688,0.758,08_06_20
0.691,0.75,08_06_22
0.68,0.747,08_06_23
0.636,0.798,08_06_25
0.71,0.715,08_06_26
0.699,0.828,08_06_28
0.706,0.814,08_06_29
0.632,0.782,08_06_31
0.685,0.77,08_06_32
0.652,0.691,08_06_34
0.691,0.775,08_06_36
0.72,0.651,08_06_37
0.641,0.779,08_06_39
0.684,0.737,08_06_40
0.68,0.784,08_06_42
0.681,0.752,08_06_44
0.702,0.71,08_06_45
0.671,0.745,08_06_47
0.656,0.732,08_06_48
0.725,0.733,08_06_50
0.684,0.765,08_06_52
0.699,0.747,08_06_53
0.742,0.769,08_06_55
0.746,0.744,08_06_57
0.712,0.711,08_06_58
0.745,0.734,08_07_00
0.641,0.72,08_07_01
0.673,0.787,08_07_13
0.733,0.748,08_07_48
0.698,0.71,08_07_49
0.678,0.777,08_07_51
0.669,0.78,08_07_53
0.692,0.68,08_07_54
0.708,0.685,08_07_56
0.688,0.748,08_07_57
0.748,0.774,08_07_59
0.673,0.681,08_08_01
0.604,0.713,08_08_15
0.632,0.693,08_08_16
0.665,0.699,08_08_18
0.662,0.656,08_08_20
0.649,0.682,08_08_22
0.733,0.747,08_08_23
0.626,0.733,08_08_25
0.652,0.799,08_08_26
0.65,0.866,08_08_28
0.732,0.865,08_08_30
0.694,0.939,08_08_31
0.734,0.809,08_08_33
0.663,0.94,08_08_34
0.689,0.894,08_08_36
