khoảng cách trên,khoảng cách dưới
0.62,0.783,08_01_09
0.553,0.792,08_01_39
0.583,0.832,08_01_41
0.631,0.761,08_01_43
0.632,0.757,08_01_57
0.584,0.785,08_01_59
0.553,0.808,08_02_01
0.579,0.831,08_02_02
0.592,0.724,08_02_04
0.632,0.743,08_02_05
0.642,0.815,08_02_07
0.641,0.772,08_02_09
0.649,0.734,08_02_10
0.612,0.801,08_02_12
0.673,0.768,08_02_13
0.635,0.859,08_02_15
0.602,0.753,08_02_17
0.668,0.846,08_02_35
0.588,0.831,08_02_36
0.618,0.828,08_02_37
0.599,0.817,08_02_39
0.683,0.741,08_02_41
0.672,0.827,08_02_42
0.655,0.749,08_02_44
0.664,0.757,08_02_46
0.57,0.805,08_02_47
0.659,0.824,08_02_49
0.574,0.851,08_02_50
0.625,0.801,08_02_52
0.606,0.931,08_02_54
0.622,0.745,08_02_55
0.566,0.769,08_02_57
0.654,0.769,08_02_58
0.568,0.715,08_03_00
0.576,0.815,08_03_02
0.522,0.796,08_03_03
0.603,0.784,08_03_05
0.721,0.799,08_03_07
0.63,0.827,08_03_08
0.695,0.817,08_03_09
0.623,0.871,08_03_11
0.585,0.859,08_03_13
0.647,0.818,08_03_14
0.647,0.82,08_03_16
0.753,0.858,08_03_18
0.7,0.794,08_03_19
0.613,0.756,08_03_21
0.625,0.826,08_03_23
0.604,0.752,08_03_24
0.649,0.898,08_03_26
0.628,0.782,08_03_27
0.58,0.813,08_03_29
0.633,0.831,08_03_31
0.625,0.83,08_03_32
0.637,0.804,08_03_34
0.669,0.76,08_03_35
0.636,0.739,08_03_37
0.606,0.771,08_03_38
0.571,0.76,08_03_40
0.617,0.783,08_03_55
0.654,0.776,08_03_57
0.574,0.775,08_03_59
0.602,0.699,08_04_00
0.635,0.635,08_04_02
0.627,0.808,08_04_03
0.633,0.754,08_04_05
0.591,0.794,08_04_07
0.605,0.779,08_04_08
0.574,0.832,08_04_10
0.595,0.781,08_04_11
0.553,0.796,08_04_13
0.63,0.808,08_04_15
0.612,0.708,08_04_16
0.608,0.85,08_04_18
0.563,0.775,08_04_19
0.623,0.871,08_04_21
0.596,0.814,08_04_23
0.632,0.793,08_04_24
0.667,0.802,08_04_26
0.572,0.856,08_04_28
0.637,0.757,08_04_29
0.607,0.721,08_04_31
0.613,0.759,08_04_32
0.64,0.724,08_04_34
0.595,0.689,08_04_36
0.628,0.767,08_04_37
0.603,0.678,08_04_39
0.606,0.776,08_04_40
0.631,0.79,08_04_42
0.625,0.82,08_04_44
0.6,0.8,08_04_45
0.573,0.765,08_04_47
0.599,0.8,08_04_48
0.605,0.77,08_04_50
0.621,0.774,08_04_52
0.617,0.749,08_04_53
0.57,0.719,08_04_55
0.638,0.736,08_04_56
0.666,0.821,08_04_58
0.665,0.705,08_05_00
0.618,0.75,08_05_01
0.662,0.793,08_05_15
0.575,0.774,08_05_17
0.549,0,08_05_18
0.599,0.688,08_05_20
0.623,0.703,08_05_21
0.517,0.708,08_05_23
0.602,0.74,08_05_25
0.63,0.767,08_05_26
0.638,0.737,08_05_28
0.682,0,08_05_30
0.585,0.757,08_05_31
0.55,0.771,08_05_33
0.603,0.836,08_05_34
0.623,0.757,08_05_36
0.636,0.792,08_05_38
0.682,0.823,08_05_39
0.568,0,08_05_41
0.587,0.876,08_05_42
0.628,0.78,08_05_44
0.616,0.855,08_05_46
0.598,0.734,08_05_47
0.665,0.885,08_05_49
0.623,0.834,08_05_50
0.54,0.813,08_05_52
0.59,0.799,08_05_54
0.599,0.726,08_05_55
0.591,0.849,08_05_57
0.652,0.905,08_05_59
0.657,0.76,08_06_00
0.589,0.813,08_06_02
0.639,0.774,08_06_03
0.669,0.84,08_06_05
0.669,0.732,08_06_06
0.644,0.741,08_06_08
0.603,0.856,08_06_10
0.583,0.791,08_06_11
0.622,0.932,08_06_13
0.559,0.755,08_06_14
0.633,0.749,08_06_16
0.54,0.725,08_06_18
0.588,0.741,08_06_19
0.61,0.792,08_06_21
0.603,0.715,08_06_22
0.657,0.771,08_06_24
0.617,0.765,08_06_26
0.686,0.891,08_06_27
0.606,0.795,08_06_29
0.619,0.776,08_06_31
0.585,0.823,08_06_32
0.636,0.528,08_06_34
0.576,0.65,08_06_35
0.48,0.655,08_06_37
0.439,0.69,08_06_39
0.527,0.809,08_06_40
0.557,0.792,08_06_42
0.663,0.837,08_06_43
0.606,0.735,08_06_45
0.629,0.713,08_06_46
0.66,0.656,08_06_48
0.477,0.681,08_06_50
0.558,0.712,08_06_51
0.606,0.782,08_06_53
0.637,0.697,08_06_55
0.629,0.705,08_06_56
0.61,0.782,08_06_58
0.597,0.806,08_06_59
0.679,0.727,08_07_01
0.627,0.792,08_07_03
0.699,0.726,08_07_04
0.64,0.756,08_07_06
0.589,0.796,08_07_07
0.554,0.748,08_07_09
0.603,0.736,08_07_10
0.579,0.803,08_07_12
0.637,0.765,08_07_13
0.63,0.801,08_07_15
0.544,0.736,08_07_17
0.641,0.772,08_07_19
0.609,0.737,08_07_20
0.6,0.809,08_07_22
0.638,0,08_07_23
